,categories,descriptions,rating,title
753,"['Antioxidants', 'Emollients']","<p class=""description ingredient-description"">
				                	Non-fragrant plant oil from soy that has been hydrogenated so it retains a semi-solid rather than liquid state.
				                </p>",Best,hydrogenated soybean oil
754,"['Film-Forming/Holding Agents', 'Hydration']","<p class=""description ingredient-description"">
<p>The end product of hydrolyzing starch, a polysaccharide carbohydrate...</p>
</p>",Good,hydrogenated starch hydrolysate
755,"['Emollients', 'Emulsifiers', 'Texture Enhancer']","<p class=""description ingredient-description"">
				                	A hydrogenated blend of vegetable glycerides that functions chiefly as an emollient and emulsifier in cosmetics...
				                </p>",Good,hydrogenated vegetable glycerides citrate
756,['Sensitizing'],"<p class=""description ingredient-description"">
				                	There is a great deal of current research showing that hydrogen peroxide is problematic as a...
				                </p>",Poor,hydrogen peroxide
757,['Absorbent'],"<p class=""description ingredient-description"">
				                	A form of the natural absorbent corn starch that has been hydrolyzed, which means it has undergone...
				                </p>",Good,hydrolyzed corn starch
758,"['Skin-Replenishing', 'Skin-Softening']","<p class=""description ingredient-description"">
				                	A skin-restorative ingredient that has been hydrolyzed, which is a chemical process involving the...
				                </p>",Best,hydrolyzed glycosaminoglycans
759,"['Plant Extracts', 'Emollients', 'Skin-Softening']","<p class=""description ingredient-description"">
				                	Essential fatty acids from the jojoba plant, broken down by water to form a new complex with...
				                </p>",Best,hydrolyzed jojoba esters
760,"['Plant Extracts', 'Emollients']","<p class=""description ingredient-description"">
				                	Protein fraction of seeds from the jojoba plant that has been hydrolyzed, which is a chemical...
				                </p>",Good,hydrolyzed jojoba protein
761,"['Antioxidants', 'Slip Agents']",,Good,hydrolyzed silk
762,"['Skin-Soothing', 'Antioxidants', 'Plant Extracts']",,Best,hydrolyzed soy protein
763,"['Miscellaneous', 'Hydration']","<p class=""description ingredient-description"">
				                	Composed of various protein substances derived from vegetables and broken down by water to form a...
				                </p>",Good,hydrolyzed vegetable protein
764,"['Plant Extracts', 'Film-Forming/Holding Agents', 'Texture Enhancer']","<p class=""description ingredient-description"">
				                	Protein fraction from wheat that has been hydrolyzed, which is a chemical process involving the...
				                </p>",Good,hydrolyzed wheat protein
765,"['Skin-Restoring', 'Antioxidants']","<p class=""description ingredient-description"">
				                	Hydroquinone has long been established as the most effective ingredient for reducing brown spots.
				                </p>",Best,hydroquinone
766,"['Thickeners/Emulsifiers', 'Texture Enhancer']","<p class=""description ingredient-description"">
				                	A polymer that functions as a stabilizer, thickening agent, and opacifying agent.
				                </p>",Good,hydroxyethyl acrylate/sodium acryloyl dimethyl taurate copolymer
767,"['Plant Extracts', 'Film-Forming/Holding Agents', 'Texture Enhancer', 'Thickeners/Emulsifiers']","<p class=""description ingredient-description"">
				                	Plant-derived thickening agent typically used as a binding agent or emulsifier. Also used (most...
				                </p>",Good,hydroxyethylcellulose
768,['Miscellaneous'],"<p class=""description ingredient-description"">
				                	Also known by the acronym HEPES, hydroxyethylpiperazine ethane sulfonic acid is a buffering ingredient typically used to...
				                </p>",Poor,hydroxyethylpiperazine ethane sulfonic acid
769,"['Hydration', 'Skin-Replenishing']","<p class=""description ingredient-description"">
<p>A synthetic ingredient that serves to hydrate skin and help maintain a normal...</p>
</p>",Good,hydroxyethyl urea
770,['Emollients'],,Best,hydroxylated lecithin
771,['Miscellaneous'],"<p class=""description ingredient-description"">
<p>A plant- derived or synthetic carbohydrate that functions as a chelating agent and...</p>
</p>",Good,hydroxypropyl cyclodextrin
772,"['Plant Extracts', 'Thickeners/Emulsifiers']",,Good,hydroxypropyl guar
773,['Thickeners/Emulsifiers'],"<p class=""description ingredient-description"">
				                	A plant-based or synthetic starch ingredient that functions as a thickener or bulking agent in cosmetics...
				                </p>",Good,hydroxypropyl starch phosphate
774,"['Antioxidants', 'Sensitizing', 'Plant Extracts']",,Good,Hypericum extract
775,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts', 'Sensitizing']","<p class=""description ingredient-description"">
				                	Fragrant plant extract that may have some beneficial properties...
				                </p>",Average,hyssop
776,['Antioxidants'],"<p class=""description ingredient-description"">
				                	A synthetic antioxidant similar to coenzyme Q10. Idebenone got a lot of press as the best...
				                </p>",Best,idebenone
777,"['Skin-Soothing', 'Antioxidants']",,Best,Ilex paraguariensis
778,"['Antioxidants', 'Sensitizing', 'Fragrance: Synthetic and Fragrant Plant Extracts']",,Poor,Illicium vernum
779,['Preservatives'],"<p class=""description ingredient-description"">
				                	Considered a weaker preservative than its ""cousin"" diazolidinyl urea because it is beneficial against...
				                </p>",Average,imidazolidinyl urea
780,['Miscellaneous'],"<p class=""description ingredient-description"">
				                	The list of inactive ingredients is the part of an ingredient label that is not regulated by the...
				                </p>",Good,inactive ingredient
781,['Skin-Replenishing'],"<p class=""description ingredient-description"">
				                	Major component of lecithin that may have water-binding properties for skin. It is not a vitamin,...
				                </p>",Best,inositol
782,"['Plant Extracts', 'Sensitizing']",,Poor,Inula helenium
783,['Preservatives'],"<p class=""description ingredient-description"">
				                	A synthetic preservative that is typically used in concentrations of 0.1% or less. It is very...
				                </p>",Good,iodopropynyl butylcarbamate
784,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts', 'Sensitizing']",,Poor,Iris florentina extract
785,"['Antioxidants', 'Thickeners/Emulsifiers', 'Plant Extracts', 'Emollients', 'Texture Enhancer']","<p class=""description ingredient-description"">
				                	Type of red algae.
				                </p>",Good,Irish moss extract
786,['Coloring Agents/Pigments'],"<p class=""description ingredient-description"">
				                	Compounds of iron that are used as colorings in some cosmetics. They also are used as a metal...
				                </p>",Good,iron oxides
787,['Absorbent'],"<p class=""description ingredient-description"">
				                	Iron powder is, as the name states, a powdered versoin of the mineral iron. A natural ingredient, it's used as an opacifying agent in cosmetics.
				                </p>",Average,iron powder
788,"['Emulsifiers', 'Skin-Softening']","<p class=""description ingredient-description"">
				                	The ester of isoamyl alcohol and lauric acid, this plant- or synthetic-based texture-enhancing ingredient feels velvety-soft.
				                </p>",Good,isoamyl laurate
789,['Miscellaneous'],,Good,isobutyl acetate
790,['Preservatives'],"<p class=""description ingredient-description"">
				                	Parabens are a group of controversial preservatives that include butylparaben...
				                </p>",Good,isobutylparaben
791,['Miscellaneous'],,Average,isocetyl salicylate
792,"['Miscellaneous', 'Texture Enhancer']","<p class=""description ingredient-description"">
				                	Hydrocarbon ingredient used as a solvent. Isododecane enhances the spreadability of products and...
				                </p>",Good,isododecane
793,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Plant derivative with antioxidant properties...
				                </p>",Best,isoflavone
794,"['Thickeners/Emulsifiers', 'Cleansing Agents', 'Texture Enhancer']","<p class=""description ingredient-description"">
				                	Used as a detergent cleansing agent, emulsifier, and thickening agent in cosmetics.
				                </p>",Good,isohexadecane
795,"['Antioxidants', 'Skin-Replenishing']",,Good,isoleucine
796,['Emollients'],"<p class=""description ingredient-description"">
				                	An ester that functions as a skin-conditioning agent. Occurs naturally in cocoa and lavender oil.
				                </p>",Good,isononyl isononanoate
797,"['Thickeners/Emulsifiers', 'Texture Enhancer']",,Good,isoparaffin
798,['Sensitizing'],,Poor,isopropyl alcohol
799,['Emollients'],"<p class=""description ingredient-description"">
				                	The ester of isopropyl alcohol and isostearic acid. It is used as a skin-conditioning agent and emollient in cosmetics products...
				                </p>",Good,isopropyl isostearate
800,"['Thickeners/Emulsifiers', 'Texture Enhancer', 'Emollients']","<p class=""description ingredient-description"">
				                	Derived from lanolin, it is used in cosmetics as a thickening agent and emollient.
				                </p>",Good,isopropyl lanolate
801,"['Texture Enhancer', 'Emollients']","<p class=""description ingredient-description"">
				                	Texture enhancer and emollient as used in cosmetics.
				                </p>",Good,isopropyl myristate
802,"['Emollients', 'Texture Enhancer']","<p class=""description ingredient-description"">
				                	Texture enhancer and emollient as used in cosmetics. It can potentially be...
				                </p>",Good,isopropyl palmitate
803,"['Emulsifiers', 'Texture Enhancer', 'Emollients']","<p class=""description ingredient-description"">
				                	A synthetic or animal-derived ingredient used as a surface treatment for cosmetic pigments...
				                </p>",Good,isopropyl titanium triisostearate
804,"['Thickeners/Emulsifiers', 'Silicones', 'Texture Enhancer']","<p class=""description ingredient-description"">
				                	A synthetic, silicone-enhanced polymer that occurs from combining isopropyl titanium triisostearate...
				                </p>",Good,isopropyl titanium triisostearte/triethoxycaprylylsilane crosspolymer
805,"['Thickeners/Emulsifiers', 'Texture Enhancer', 'Cleansing Agents']","<p class=""description ingredient-description"">
				                	Used as a surfactant, water-binding agent, and thickening agent.
				                </p>",Good,isostearamide DEA
806,"['Thickeners/Emulsifiers', 'Texture Enhancer']","<p class=""description ingredient-description"">
				                	Fatty acid used as a binding agent and thickener.
				                </p>",Good,isostearic acid
807,"['Plant Extracts', 'Sensitizing']","<p class=""description ingredient-description"">
				                	Plant extract that can be sensitizing due to its astringent (skin-constricting) properties.
				                </p>",Poor,ivy extract
808,"['Thickeners/Emulsifiers', 'Emollients', 'Texture Enhancer']","<p class=""description ingredient-description"">
				                	Vegetable wax obtained from sumac berries, and used as a thickening agent and emollient in...
				                </p>",Good,Japan wax
809,"['Plant Extracts', 'Sensitizing', 'Fragrance: Synthetic and Fragrant Plant Extracts']","<p class=""description ingredient-description"">
				                	Fragrant oil, often used as a source of perfume, that can be a skin sensitizer...
				                </p>",Poor,jasmine oil
810,"['Plant Extracts', 'Sensitizing', 'Fragrance: Synthetic and Fragrant Plant Extracts']",,Poor,Jasminium grandiflorum
811,"['Antioxidants', 'Emollients', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	The fattiest portion of jojoba oil, used as an intensive emollient.
				                </p>",Best,jojoba butter
812,"['Plant Extracts', 'Emollients']","<p class=""description ingredient-description"">
				                	A complex mixture of esters from jojoba oil and hydrogenated jojoba oil. The result is an...
				                </p>",Best,jojoba esters
813,"['Skin-Restoring', 'Plant Extracts', 'Skin-Replenishing', 'Emollients']","<p class=""description ingredient-description"">
				                	Emollient, non-fragrant oil (technically, a polyunsaturated wax) extracted from the seeds of a perennial shrub.
				                </p>",Best,jojoba oil
814,"['Plant Extracts', 'Skin-Replenishing', 'Emollients']","<p class=""description ingredient-description"">
				                	Semi-solid portion of jojoba oil.
				                </p>",Best,jojoba wax
815,"['Plant Extracts', 'Sensitizing', 'Fragrance: Synthetic and Fragrant Plant Extracts']","<p class=""description ingredient-description"">
				                	Fragrant plant extract that poses a strong risk of skin sensitization.
				                </p>",Poor,jonquil extract
816,"['Skin-Soothing', 'Plant Extracts']",,Good,Ju hua
817,"['Skin-Soothing', 'Plant Extracts', 'Antioxidants']","<p class=""description ingredient-description"">
				                	Asian plant extract that has soothing properties and may also provide other benefits...
				                </p>",Good,jujube fruit extract
818,"['Skin-Soothing', 'Plant Extracts', 'Sensitizing']","<p class=""description ingredient-description"">
				                	Can have sothing properties for skin…
				                </p>",Poor,juniper berry
819,"['Skin-Soothing', 'Sensitizing', 'Plant Extracts']",,Poor,Juniperus communis
820,['Absorbent'],"<p class=""description ingredient-description"">
				                	Naturally occurring clay mineral (silicate of aluminum) that is used in cosmetics for its absorbent...
				                </p>",Good,kaolin
821,"['Preservatives', 'Sensitizing']",,Poor,Kathon CG
822,"['Skin-Soothing', 'Plant Extracts', 'Sensitizing']","<p class=""description ingredient-description"">
				                	Extract of the Piper methysticum plant that has soothing properties, but can...
				                </p>",Poor,kava-kava extract
823,"['Skin-Soothing', 'Plant Extracts', 'Sensitizing']",,Poor,kawa extract
824,"['Antioxidants', 'Thickeners/Emulsifiers', 'Emollients', 'Plant Extracts']",,Good,kelp extract
825,"['Skin-Soothing', 'Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Extract of African plant commonly known as the sausage tree. The African lore about this extract is...
				                </p>",Average,Kigelia africana extract
826,"['Antioxidants', 'Plant Extracts', 'Sensitizing']","<p class=""description ingredient-description"">
				                	As a food, kiwi has significant antioxidant properties that may even be greater than those of...
				                </p>",Average,kiwi fruit extract
827,['Antioxidants'],"<p class=""description ingredient-description"">
				                	By-product of the fermentation process of malting rice for use in the manufacture of sake, Japanese...
				                </p>",Good,kojic acid
828,['Antioxidants'],"<p class=""description ingredient-description"">
				                	A mixture of kojic acid and palmitic acid. It functions as a skin-conditioning agent and antioxidant...
				                </p>",Good,kojic dipalmitate
829,"['Plant Extracts', 'Sensitizing']","<p class=""description ingredient-description"">
				                	One of the major components of the kola nut is caffeine, which in high amounts can be a skin sensitizer...
				                </p>",Average,kola nut
830,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Source of isoflavone, genistein, and daidzein, all plant estrogens..
				                </p>",Best,kudzu root
831,"['Plant Extracts', 'Emollients']","<p class=""description ingredient-description"">
				                	Non-volatile oil from a plant native to Hawaii; it has emollient properties for skin (Source:...
				                </p>",Best,kukui nut oil
832,['Exfoliant'],"<p class=""description ingredient-description"">
				                	Alpha hydroxy acid extracted from milk, although most forms used in cosmetics are synthetic. It...
				                </p>",Best,lactic acid
833,['Skin-Replenishing'],"<p class=""description ingredient-description"">
				                	Polysaccharide that has water-binding properties for skin.
				                </p>",Good,lactobionate
834,['Exfoliant'],,Best,lactobionic acid
835,['Miscellaneous'],"<p class=""description ingredient-description"">
				                	Enzyme derived from milk; it has purifying benefits for skin and may be helpful for...
				                </p>",Best,lactoperoxidase
836,"['Plant Extracts', 'Miscellaneous']",,Poor,lady's mantle extract
837,"['Antioxidants', 'Plant Extracts', 'Skin-Restoring']","<p class=""description ingredient-description"">
				                	Extract for which there is a great deal of research showing it has many applications...
				                </p>",Best,lady's thistle (milk thistle) extract
838,['Plant Extracts'],"<p class=""description ingredient-description"">
				                	No research shows this plant as having any benefit for skin...
				                </p>",Average,Lagerstroemia indica extract
839,"['Antioxidants', 'Thickeners/Emulsifiers', 'Plant Extracts', 'Texture Enhancer']",,Good,Laminaria digitata
840,"['Antioxidants', 'Texture Enhancer', 'Plant Extracts', 'Thickeners/Emulsifiers', 'Emollients']",,Good,Laminaria longicruris
841,"['Skin-Soothing', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	The Latin name for a species of kelp, also known as brown seaweed. Applied topically, it helps...
				                </p>",Good,Laminaria ochroleuca extract
842,"['Antioxidants', 'Emollients', 'Plant Extracts', 'Thickeners/Emulsifiers']",,Good,Laminaria sacharrina
843,"['Skin-Soothing', 'Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	A species of the nettle plant that is used topically as as a soothing ingredient...
				                </p>",Best,Lamium album flower extract
844,"['Emollients', 'Skin-Replenishing']","<p class=""description ingredient-description"">
				                	Emollient, very thick substance derived from sheep. Lanolin has long been...
				                </p>",Good,lanolin
845,"['Emollients', 'Skin-Replenishing']","<p class=""description ingredient-description"">
				                	Emollient derived from lanolin.
				                </p>",Good,lanolin alcohol
846,"['Skin-Soothing', 'Plant Extracts', 'Antioxidants']",,Good,lappa extract
847,"['Antioxidants', 'Plant Extracts']",,Good,Larrea divaricata extract
848,"['Antioxidants', 'Plant Extracts']",,Good,Larrea tridentata
849,"['Skin-Soothing', 'Vitamins', 'Antioxidants']","<p class=""description ingredient-description"">
				                	Form of vitamin C that is a potent antioxidant and skin-soothing agent...
				                </p>",Best,L-ascorbic acid
850,['Cleansing Agents'],"<p class=""description ingredient-description"">
				                	Mild detergent cleansing agent.
				                </p>",Good,lauramphocarboxyglycinate
851,['Miscellaneous'],,Good,laurdimonium hydroxypropyl hydrolyzed soy protein
852,['Miscellaneous'],,Good,laurdimonium hydroxypropyl hydrolyzed wheat protein
853,"['Thickeners/Emulsifiers', 'Cleansing Agents', 'Texture Enhancer']","<p class=""description ingredient-description"">
				                	Derived from lauryl alcohol and used either as a surfactant or emulsifier (or, in many cases, as...
				                </p>",Good,laureth-23
854,"['Thickeners/Emulsifiers', 'Texture Enhancer', 'Cleansing Agents']","<p class=""description ingredient-description"">
				                	Derived from lauryl alcohol and used either as a surfactant or emulsifier (or, in many cases, as...
				                </p>",Good,laureth-4
855,"['Thickeners/Emulsifiers', 'Cleansing Agents']","<p class=""description ingredient-description"">
				                	A form of lauryl alcohol (a non-irritating fatty alcohol derived from coconut oil) that can...
				                </p>",Good,laureth-7
856,['Cleansing Agents'],"<p class=""description ingredient-description"">
				                	Substances that in various combinations create a wide range of mild detergent cleansing agents...
				                </p>",Good,laureths
857,"['Skin-Replenishing', 'Cleansing Agents']","<p class=""description ingredient-description"">
				                	One of several fatty acids found in coconut oil and other natural fats.
				                </p>",Best,lauric acid
858,['Miscellaneous'],"<p class=""description ingredient-description"">
				                	Amino acid derivative that functions as a skin- and hair-conditioning agent. It also contributes to...
				                </p>",Good,lauroyl lysine
859,"['Antioxidants', 'Fragrance: Synthetic and Fragrant Plant Extracts', 'Plant Extracts']",,Poor,Laurus nobilis
860,['Cleansing Agents'],,Good,lauryl alcohol
861,['Cleansing Agents'],,Good,lauryl glucoside
862,"['Fragrance: Synthetic and Fragrant Plant Extracts', 'Emollients']","<p class=""description ingredient-description"">
				                	Mixture of lauryl alcohol and lactic acid that functions as a skin-conditioning agent and...
				                </p>",Good,lauryl lactate
863,"['Emollients', 'Texture Enhancer']","<p class=""description ingredient-description"">
				                	An ester of lauryl alcohol and lauric acid...
				                </p>",Best,lauryl laurate
864,"['Emulsifiers', 'Miscellaneous', 'Texture Enhancer', 'Thickeners/Emulsifiers']","<p class=""description ingredient-description"">
				                	A silicone polymer that has multiple functions in cosmetic products, including skin/hair...
				                </p>",Good,lauryl PEG-9 polydimethylsiloxyethyl dimethicone
865,"['Plant Extracts', 'Sensitizing', 'Fragrance: Synthetic and Fragrant Plant Extracts']","<p class=""description ingredient-description"">
				                	Essential oil of the hybrid lavender plant Lavandula hybrida and used in cosmetics as a fragrance...
				                </p>",Poor,lavandin oil
866,"['Plant Extracts', 'Sensitizing', 'Fragrance: Synthetic and Fragrant Plant Extracts']",,Poor,Lavandula angustifolia
867,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts', 'Sensitizing']",,Poor,Lavandula officinalis
868,"['Plant Extracts', 'Sensitizing', 'Fragrance: Synthetic and Fragrant Plant Extracts']","<p class=""description ingredient-description"">
				                	In-vitro research indicates that components of lavender oil, specifically linalool and linalyl acetate, can have...
				                </p>",Poor,lavender extract and oil
869,['Antioxidants'],,Good,L-cysteine
870,"['Emollients', 'Skin-Replenishing']","<p class=""description ingredient-description"">
				                	Phospholipid found in egg yolks and may be plant or animal derived. It is widely used in...
				                </p>",Best,lecithin
871,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts', 'Sensitizing']","<p class=""description ingredient-description"">
				                	Potent skin sensitizer. Though it can have beneficial properties...
				                </p>",Poor,lemon
872,"['Plant Extracts', 'Sensitizing', 'Fragrance: Synthetic and Fragrant Plant Extracts']",,Poor,lemon balm
873,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts', 'Sensitizing']","<p class=""description ingredient-description"">
				                	Extract that can have beneficial properties...
				                </p>",Poor,lemongrass extract
874,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts', 'Sensitizing']","<p class=""description ingredient-description"">
				                	Also known as Oil of Verbena; can be effective as a mosquito repellent...
				                </p>",Poor,lemongrass oil
875,"['Antioxidants', 'Sensitizing']","<p class=""description ingredient-description"">
				                	The juice from the citrus fruit lemon, often touted in the world of skin care as being a natural option for brightening skin.
				                </p>",Poor,lemon juice
876,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts', 'Sensitizing']","<p class=""description ingredient-description"">
				                	Commonly used citrus oil that can be a skin sensitizer, especially on abraded skin.
				                </p>",Poor,lemon oil
877,"['Antioxidants', 'Plant Extracts', 'Skin-Softening']","<p class=""description ingredient-description"">
				                	Extract that functions as a skin-conditioning agent and likely has antioxidant benefit, too.
				                </p>",Good,lentil fruit extract
878,"['Plant Extracts', 'Sensitizing', 'Antioxidants']","<p class=""description ingredient-description"">
				                	Extract from the shiitake mushroom that may have antioxidant properties...
				                </p>",Average,Lentinus edodes extract
879,"['Skin-Soothing', 'Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Plant extract whose constituents are capable of provding antioxidant and soothing benefit...
				                </p>",Best,Leontopodium alpinum extract
880,"['Plant Extracts', 'Antioxidants']",,Good,Leptospermum scoparium oil
881,['Skin-Replenishing'],"<p class=""description ingredient-description"">
				                	Amino acid.
				                </p>",Good,leucine
882,"['Plant Extracts', 'Sensitizing', 'Fragrance: Synthetic and Fragrant Plant Extracts']",,Poor,Levisticum officinale root extract
883,"['Skin-Soothing', 'Plant Extracts', 'Antioxidants']","<p class=""description ingredient-description"">
				                	Plant extract that has skin-soothing properties. In addition, licorice root may be effective in...
				                </p>",Best,licorice extract
884,"['Skin-Soothing', 'Plant Extracts']",,Best,licorice root
885,['Plant Extracts'],"<p class=""description ingredient-description"">
				                	Extract derived from the white lily bulb. There is no research showing this has any benefit for...
				                </p>",Average,Lilium candidum bulb extract
886,"['Plant Extracts', 'Sensitizing', 'Fragrance: Synthetic and Fragrant Plant Extracts']","<p class=""description ingredient-description"">
				                	Citrus fruit whose volatile compounds are sensitizing...
				                </p>",Poor,lime oil and extract
887,"['Plant Extracts', 'Skin-Softening']","<p class=""description ingredient-description"">
				                	Plant commonly known as meadowfoam; its seed oil is a non-volatile plant oil used as a...
				                </p>",Good,Limnanthes alba
888,['Plant Extracts'],,Good,Limnanthes alba seed oil
889,"['Fragrance: Synthetic and Fragrant Plant Extracts', 'Sensitizing']","<p class=""description ingredient-description"">
				                	Chemical constituent of many natural fragrant ingredients, notably citrus oils such as lemon (d-limonene) and...
				                </p>",Poor,limonene
890,"['Fragrance: Synthetic and Fragrant Plant Extracts', 'Sensitizing']","<p class=""description ingredient-description"">
				                	Fragrant component of lavender and coriander that can be a skin sensitizer, or...
				                </p>",Poor,linalool
891,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Major constituents in linden are flavonoids and glycosides. Flavonoids are potent...
				                </p>",Best,linden flower extract
892,"['Skin-Soothing', 'Antioxidants', 'Skin-Restoring', 'Emollients']","<p class=""description ingredient-description"">
				                	Unsaturated fatty acid used as an emollient and thickening agent in cosmetics. There is some...
				                </p>",Best,linoleic acid
893,"['Skin-Restoring', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Linolenic acid is a naturally-occurring, colorless polyunsaturated fatty acid liquid...
				                </p>",Best,linolenic acid
894,['Plant Extracts'],"<p class=""description ingredient-description"">
				                	Non-volatile plant oil. Linoleic acid is a component of linseed oil. 
				                </p>",Best,linseed oil
895,['Plant Extracts'],,Best,Linum usitatissimum extract
896,"['Thickeners/Emulsifiers', 'Emollients', 'Skin-Replenishing']","<p class=""description ingredient-description"">
				                	Wide range of ingredients found in plants, animals, and human skin. Lipids include fatty acids,...
				                </p>",Best,lipid
897,['Miscellaneous'],"<p class=""description ingredient-description"">
				                	Delivery system (not an ingredient) capable of holding other ingredients and releasing them after...
				                </p>",Good,liposomes
898,"['Thickeners/Emulsifiers', 'Texture Enhancer', 'Absorbent']","<p class=""description ingredient-description"">
				                	Synthetic silica-based clay composed of lithium, sodium, and magnesium. Used as a thickening agent...
				                </p>",Good,lithium magnesium sodium silicate
899,"['Skin-Soothing', 'Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Also known as gromwell, the root of this plant is believed to have antioxidant and...
				                </p>",Best,Lithospermum erythrorhizon
900,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts', 'Sensitizing']",,Poor,Litsea cubeba
901,"['Plant Extracts', 'Texture Enhancer', 'Thickeners/Emulsifiers', 'Film-Forming/Holding Agents']",,Good,locust bean
902,"['Skin-Soothing', 'Plant Extracts']",,Best,Lonicera caprifolium flower extract
903,"['Skin-Soothing', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Honeysuckle extract. A plant with soothing properties for skin.
				                </p>",Best,Lonicera japonica 
904,"['Skin-Soothing', 'Plant Extracts']",,Best,Lonicera japonica flower extract
905,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Extract derived from a subtropical flower that has antioxidant properties similar to...
				                </p>",Best,loquat extract
906,"['Skin-Soothing', 'Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Extract that can have soothing and antioxidant properties...
				                </p>",Best,lotus seed extract
907,"['Plant Extracts', 'Sensitizing']","<p class=""description ingredient-description"">
				                	In cosmetics, it is used as a fragrance....
				                </p>",Poor,lovage root extract
908,"['Antioxidants', 'Plant Extracts', 'Emollients']","<p class=""description ingredient-description"">
				                	Legume that is a source of isoflavones with antioxidant properties...
				                </p>",Good,lupine
909,"['Antioxidants', 'Emollients', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Extract of Lupinus albus, a legume; it has emollient and antioxidant properties, though it may also...
				                </p>",Average,lupine oil
910,"['Antioxidants', 'Emollients', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Species of legume.
				                </p>",Good,Lupinus albus extract
911,['Antioxidants'],"<p class=""description ingredient-description"">
				                	Carotenoid that has antioxidant properties…
				                </p>",Best,lutein
912,"['Antioxidants', 'Skin-Softening']","<p class=""description ingredient-description"">
				                	The extract of the fruit commonly known as goji, goji berry, or wolfberry. This fruit extract is an antioxidant...
				                </p>",Good,Lycium barbarum fruit extract
913,['Antioxidants'],"<p class=""description ingredient-description"">
				                	Carotenoid pigment that has potent antioxidant properties…
				                </p>",Best,lycopene
914,"['Cleansing Agents', 'Sensitizing']",,Poor,lye
915,"['Antioxidants', 'Skin-Replenishing']","<p class=""description ingredient-description"">
				                	Amino acid.
				                </p>",Good,lysine
916,"['Plant Extracts', 'Emollients']","<p class=""description ingredient-description"">
				                	Used in cosmetics as an emollient for dry skin.
				                </p>",Good,macadamia nut oil
917,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	One of four principal bioactive compounds in the plant extract Centella asiatica.
				                </p>",Best,madecassoside
918,['Absorbent'],"<p class=""description ingredient-description"">
				                	Earth mineral that has strong absorbent properties and some disinfecting properties…
				                </p>",Good,magnesium
919,['Thickeners/Emulsifiers'],"<p class=""description ingredient-description"">
				                	Powdery, dry-feeling, white solid that is used as a thickening agent and powder in cosmetics.
				                </p>",Good,magnesium aluminum silicate
920,"['Antioxidants', 'Vitamins']","<p class=""description ingredient-description"">
				                	Fatty acid-based derivative of vitamin C that can be an effective antioxidant. There is some...
				                </p>",Good,magnesium ascorbyl palmitate
921,"['Antioxidants', 'Vitamins']","<p class=""description ingredient-description"">
				                	Form of vitamin C that is considered stable and an effective antioxidant for skin (Sources:...
				                </p>",Best,magnesium ascorbyl phosphate
922,['Absorbent'],"<p class=""description ingredient-description"">
				                	Inorganic mineral salt used as an absorbent, opacifying agent, coloring agent, or to adjust the pH...
				                </p>",Good,magnesium carbonate
923,"['Absorbent', 'Miscellaneous']","<p class=""description ingredient-description"">
				                	Active ingredient in milk of magnesia. It is an absorbent and has disinfectant properties for skin.
				                </p>",Good,magnesium hydroxide
924,['Cleansing Agents'],"<p class=""description ingredient-description"">
				                	Mild detergent cleansing agent.
				                </p>",Good,magnesium laureth sulfate
925,['Cleansing Agents'],"<p class=""description ingredient-description"">
				                	Mild detergent cleansing agent.
				                </p>",Good,magnesium oleth sulfate
926,"['Thickeners/Emulsifiers', 'Texture Enhancer']","<p class=""description ingredient-description"">
				                	Used as a thickening agent in cosmetics.
				                </p>",Good,magnesium stearate
927,['Texture Enhancer'],"<p class=""description ingredient-description"">
				                	Commonly known as Epsom salt, a magnesium salt used as a texture enhancer.
				                </p>",Good,magnesium sulfate
928,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
<p>A plant extract known as Orgeon grape...</p>
</p>",Good,Mahonia aquifolium root extract
